"","lat","long","ntest","npos","utm_x","utm_y","elevation"
"61",7.80427,-10.39267,42,9,345786.557653555,862761.330028552,413.509309919999
"62",4.42552,-7.63575,45,1,650743.087224176,489127.302131109,30.2821920000009
"63",4.60997,-7.57095,50,3,657895.040137346,509536.888440538,29.0447024000001
"64",4.43693,-7.783333,47,1,634361.791478819,490360.422941921,12.568663584
"65",4.71667,-7.78532,50,10,634088.963381749,521290.467131253,67.5888185599999
"66",4.80258,-7.60417,41,9,654166.362896616,530827.766639908,39.5897536000028
"67",4.8757,-8.018765,50,8,608167.58210353,538832.107512039,131.333046399996
"68",4.60425,-8.285263,48,1,578644.713825534,508785.389425909,10.6079555999995
"69",4.7206,-8.16912,40,3,591514.230936052,521662.471863894,21.6827455999999
"70",4.83582,-8.46604,50,4,558570.668570881,534367.669143601,59.0507174399999
"71",4.93765,-8.26858,44,8,580456.347705625,545645.726596964,74.8893279999983
"72",5.12097,-8.371667,50,10,569006.349869117,565900.409615088,97.9085580319995
"73",5.13579,-8.236611,42,9,583975.57646237,567555.064212178,132.046370736001
"74",4.88517,-8.770001,49,2,524861.421436248,539804.151681532,27.7735057920007
"75",5.10192,-9.02098,40,2,497032.770598721,563760.477473847,19.2378752000002
"76",5.25448,-9.28523,50,4,467748.955679531,580632.498220694,34.3672956800003
"77",5.46856,-8.783367,50,11,523357.350326118,604295.387286411,117.132119007999
"78",5.5188,-9.17026,46,10,480498.20688205,609847.633941645,58.7871999999991
"79",5.56967,-8.53597,50,10,550756.188817467,615488.664200901,196.567261120001
"80",5.23667,-7.88527,50,8,622904.175646192,578766.141342645,222.794882240001
"81",5.02615,-7.57715,48,11,657111.101408156,555556.003566811,71.7216440000002
"82",5.28765,-7.4928,50,12,666396.77748178,584494.553366514,112.049791999999
"83",5.48595,-7.901913,40,7,621010.053811525,606324.900327823,261.6076216
"84",5.56875,-8.12262,50,6,596543.372101251,615438.958297734,255.482
"85",5.65198,-7.86856,48,10,624670.363153899,624689.453817829,204.130434559998
"86",6.07087,-7.83582,50,13,628200.852701268,671013.613111674,210.405148159999
"87",6.10265,-8.102478,50,9,598680.625265779,674471.139447332,238.36231856
"88",6.23445,-8.517115,50,10,552781.016707471,688983.327283039,295.526398800002
"89",6.25395,-8.81862,43,9,519423.880684322,691118.066801827,168.6317888
"90",6.28727,-8.27417,50,11,579651.692829977,694853.819591873,281.696455200001
