"","Year_Month","CO2","Year","Month"
"100","1973-04",331.69,1973,4
"101","1973-05",332.65,1973,5
"102","1973-06",332.24,1973,6
"103","1973-07",331.03,1973,7
"104","1973-08",329.36,1973,8
"105","1973-09",327.6,1973,9
"106","1973-10",327.29,1973,10
"107","1973-11",328.28,1973,11
"108","1973-12",328.79,1973,12
"109","1974-01",329.45,1974,1
"110","1974-02",330.89,1974,2
"111","1974-03",331.63,1974,3
"112","1974-04",332.85,1974,4
"113","1974-05",333.28,1974,5
"114","1974-06",332.47,1974,6
"115","1974-07",331.34,1974,7
"116","1974-08",329.53,1974,8
"117","1974-09",327.57,1974,9
"118","1974-10",327.57,1974,10
"119","1974-11",328.53,1974,11
"120","1974-12",329.69,1974,12
"121","1975-01",330.45,1975,1
"122","1975-02",330.97,1975,2
"123","1975-03",331.64,1975,3
"124","1975-04",332.87,1975,4
"125","1975-05",333.61,1975,5
"126","1975-06",333.55,1975,6
"127","1975-07",331.9,1975,7
"128","1975-08",330.05,1975,8
"129","1975-09",328.58,1975,9
"130","1975-10",328.31,1975,10
"131","1975-11",329.41,1975,11
"132","1975-12",330.63,1975,12
"133","1976-01",331.63,1976,1
"134","1976-02",332.46,1976,2
"135","1976-03",333.36,1976,3
"136","1976-04",334.45,1976,4
"137","1976-05",334.82,1976,5
"138","1976-06",334.32,1976,6
"139","1976-07",333.05,1976,7
"140","1976-08",330.87,1976,8
"141","1976-09",329.24,1976,9
"142","1976-10",328.87,1976,10
"143","1976-11",330.18,1976,11
"144","1976-12",331.5,1976,12
"145","1977-01",332.81,1977,1
"146","1977-02",333.23,1977,2
"147","1977-03",334.55,1977,3
"148","1977-04",335.82,1977,4
"149","1977-05",336.44,1977,5
"150","1977-06",335.99,1977,6
"151","1977-07",334.65,1977,7
"152","1977-08",332.41,1977,8
"153","1977-09",331.32,1977,9
"154","1977-10",330.73,1977,10
"155","1977-11",332.05,1977,11
"156","1977-12",333.53,1977,12
"157","1978-01",334.66,1978,1
"158","1978-02",335.07,1978,2
"159","1978-03",336.33,1978,3
"160","1978-04",337.39,1978,4
"161","1978-05",337.65,1978,5
"162","1978-06",337.57,1978,6
"163","1978-07",336.25,1978,7
"164","1978-08",334.39,1978,8
"165","1978-09",332.44,1978,9
"166","1978-10",332.25,1978,10
"167","1978-11",333.59,1978,11
"168","1978-12",334.76,1978,12
"169","1979-01",335.89,1979,1
"170","1979-02",336.44,1979,2
"171","1979-03",337.63,1979,3
"172","1979-04",338.54,1979,4
"173","1979-05",339.06,1979,5
"174","1979-06",338.95,1979,6
"175","1979-07",337.41,1979,7
"176","1979-08",335.71,1979,8
"177","1979-09",333.68,1979,9
"178","1979-10",333.69,1979,10
"179","1979-11",335.05,1979,11
"180","1979-12",336.53,1979,12
"181","1980-01",337.81,1980,1
"182","1980-02",338.16,1980,2
"183","1980-03",339.88,1980,3
"184","1980-04",340.57,1980,4
"185","1980-05",341.19,1980,5
"186","1980-06",340.87,1980,6
"187","1980-07",339.25,1980,7
"188","1980-08",337.19,1980,8
"189","1980-09",335.49,1980,9
"190","1980-10",336.63,1980,10
"191","1980-11",337.74,1980,11
"192","1980-12",338.36,1980,12
